VARIABLES,LABELS,var_name,coef,se,aster,ci_low,ci_high,p_label,var_name2,tbl_num,is_dfe,tbl_num_2
1.extension_access#1.training,Extension_access and training,Intercropping (DFE),0.144,0.02,***,0.104,0.184,0.144***,Intercropping,2,1,5
1.extension_access#1.training,Extension_access and training,Intercropping,0.083,0.018,***,0.047,0.119,0.083***,Intercropping,2,0,5
1.extension_access#1.training,Extension_access and training,Crop Rotation (DFE),0.073,0.017,***,0.04,0.106,0.073***,Crop<br>Rotation,2,1,5
1.extension_access#1.training,Extension_access and training,Crop Rotation,0.128,0.017,***,0.095,0.161,0.128***,Crop<br>Rotation,2,0,5
1.extension_access#1.training,Extension_access and training,Improved Seeds (DFE),0.172,0.017,***,0.139,0.205,0.172***,Improved<br>Seeds ,2,1,5
1.extension_access#1.training,Extension_access and training,Improved Seeds,0.187,0.016,***,0.156,0.219,0.187***,Improved<br>Seeds,2,0,5
1.extension_access#1.training,Extension_access and training,Organic Fertilisers (DFE),0.024,0.014,*,-0.004,0.052,0.024*,Organic<br>Fertilisers,2,1,5
1.extension_access#1.training,Extension_access and training,Organic Fertilisers,-0.045,0.015,***,-0.074,-0.016,-0.045***,Organic<br>Fertilisers,2,0,5
extension_access,Extension access,Intercropping (DFE),0.13,0.016,***,0.099,0.162,0.13***,Intercropping,1,1,1
extension_access,Extension access,Intercropping,0.092,0.015,***,0.063,0.122,0.092***,Intercropping,1,0,1
extension_access,Extension access,Crop Rotation (DFE),0.069,0.013,***,0.043,0.094,0.069***,Crop<br>Rotation,1,1,1
extension_access,Extension access,Crop Rotation,0.115,0.013,***,0.089,0.141,0.115***,Crop<br>Rotation,1,0,1
extension_access,Extension access,Improved Seeds (DFE),0.126,0.013,***,0.1,0.151,0.126***,Improved<br>Seeds ,1,1,1
extension_access,Extension access,Improved Seeds,0.126,0.014,***,0.099,0.152,0.126***,Improved<br>Seeds,1,0,1
extension_access,Extension access,Organic Fertilisers (DFE),0.017,0.012,,-0.007,0.041,0.017,Organic<br>Fertilisers,1,1,1
extension_access,Extension access,Organic Fertilisers,-0.029,0.013,**,-0.054,-0.004,-0.029**,Organic<br>Fertilisers,1,0,1
extension_both,Public-private extension,Intercropping (DFE),0.041,0.016,**,0.009,0.072,0.041**,Intercropping,1,1,3
extension_both,Public-private extension,Intercropping,0.029,0.015,*,-0.001,0.059,0.029*,Intercropping,1,0,3
extension_both,Public-private extension,Crop Rotation (DFE),0.084,0.014,***,0.057,0.11,0.084***,Crop<br>Rotation,1,1,3
extension_both,Public-private extension,Crop Rotation,0.123,0.014,***,0.096,0.15,0.123***,Crop<br>Rotation,1,0,3
extension_both,Public-private extension,Improved Seeds (DFE),0.198,0.013,***,0.172,0.224,0.198***,Improved<br>Seeds ,1,1,3
extension_both,Public-private extension,Improved Seeds,0.209,0.013,***,0.183,0.235,0.209***,Improved<br>Seeds,1,0,3
extension_both,Public-private extension,Organic Fertilisers (DFE),0.049,0.01,***,0.029,0.068,0.049***,Organic<br>Fertilisers,1,1,3
extension_both,Public-private extension,Organic Fertilisers,0.037,0.011,***,0.017,0.058,0.037***,Organic<br>Fertilisers,1,0,3
extension_priv,Private extension,Intercropping (DFE),0.009,0.017,,-0.025,0.043,0.009,Intercropping,1,1,2
extension_priv,Private extension,Intercropping,-0.018,0.016,,-0.05,0.015,-0.018,Intercropping,1,0,2
extension_priv,Private extension,Crop Rotation (DFE),0.055,0.014,***,0.028,0.082,0.055***,Crop<br>Rotation,1,1,2
extension_priv,Private extension,Crop Rotation,0.059,0.015,***,0.03,0.088,0.059***,Crop<br>Rotation,1,0,2
extension_priv,Private extension,Improved Seeds (DFE),0.164,0.012,***,0.14,0.188,0.164***,Improved<br>Seeds ,1,1,2
extension_priv,Private extension,Improved Seeds,0.138,0.013,***,0.114,0.163,0.138***,Improved<br>Seeds,1,0,2
extension_priv,Private extension,Organic Fertilisers (DFE),0.021,0.011,*,-0.001,0.043,0.021*,Organic<br>Fertilisers,1,1,2
extension_priv,Private extension,Organic Fertilisers,0.028,0.013,**,0.003,0.053,0.028**,Organic<br>Fertilisers,1,0,2
extension_pub,Public extension,Intercropping (DFE),0.108,0.019,***,0.07,0.146,0.108***,Intercropping,1,1,2
extension_pub,Public extension,Intercropping,0.098,0.017,***,0.064,0.131,0.098***,Intercropping,1,0,2
extension_pub,Public extension,Crop Rotation (DFE),0.046,0.015,***,0.015,0.076,0.046***,Crop<br>Rotation,1,1,2
extension_pub,Public extension,Crop Rotation,0.097,0.015,***,0.067,0.128,0.097***,Crop<br>Rotation,1,0,2
extension_pub,Public extension,Improved Seeds (DFE),0.045,0.015,***,0.015,0.074,0.045***,Improved<br>Seeds ,1,1,2
extension_pub,Public extension,Improved Seeds,0.079,0.014,***,0.052,0.106,0.079***,Improved<br>Seeds,1,0,2
extension_pub,Public extension,Organic Fertilisers (DFE),0.024,0.012,**,0,0.047,0.024**,Organic<br>Fertilisers,1,1,2
extension_pub,Public extension,Organic Fertilisers,-0.022,0.013,*,-0.047,0.002,-0.022*,Organic<br>Fertilisers,1,0,2
training,Training,Intercropping (DFE),0.055,0.017,***,0.022,0.087,0.055***,Intercropping,2,1,4
training,Training,Intercropping,0.017,0.015,,-0.013,0.047,0.017,Intercropping,2,0,4
training,Training,Crop Rotation (DFE),0.026,0.014,*,-0.001,0.053,0.026*,Crop<br>Rotation,2,1,4
training,Training,Crop Rotation,0.057,0.014,***,0.03,0.084,0.057***,Crop<br>Rotation,2,0,4
training,Training,Improved Seeds (DFE),0.1,0.014,***,0.073,0.126,0.1***,Improved<br>Seeds ,2,1,4
training,Training,Improved Seeds,0.132,0.013,***,0.106,0.157,0.132***,Improved<br>Seeds,2,0,4
training,Training,Organic Fertilisers (DFE),0.013,0.011,,-0.008,0.035,0.013,Organic<br>Fertilisers,2,1,4
training,Training,Organic Fertilisers,-0.031,0.012,***,-0.054,-0.007,-0.031***,Organic<br>Fertilisers,2,0,4
